Student_Unique_ID,Age,Gender,Home_Location,Family_Income,Attendance_Rate,Study_Hours,Past_Failures,Previous_Score,Exam_Score,Internet_Access,Sleep_Hours,Motivation_Level,Peer_Influence,Smoking_Habits,Alcohol_Use,Sports_Participation,Cultural_Activities,Club_Membership,Leadership_Role,Volunteer_Hours,Competitions_Attended,Awards_Received,Creative_Projects,Performance_Label,Region,Class,Section,Parental_Education_Level,Parental_Occupation,Study_Environment,Access_to_Tutoring,Mental_Health_Status,Nutrition_Quality,Transport_Mode,Device_Availability
S8_W_C_0001,14,Female,Urban,High,87.12,4.2,3,77.29,82.23,No,9.0,High,Negative,No,No,Yes,No,Yes,Yes,5,3,0,1,Medium,West,8th,C,,Unemployed,Noisy,Yes,Stressed,Good,Car,Yes
S8_S_A_0002,13,Male,Suburban,Medium,85.96,1.9,1,61.85,54.04,No,6.6,Low,Positive,No,No,No,Yes,Yes,Yes,8,3,3,1,High,South,8th,A,High School,Engineer,Shared,Yes,Stable,Average,Bus,No
S10_S_A_0001,16,Female,Suburban,Medium,92.79,5.8,0,98.08,85.84,No,8.1,Medium,Neutral,Yes,No,Yes,Yes,No,No,13,7,3,2,High,South,10th,A,Bachelor,Unemployed,Shared,No,Anxious,Poor,Cycle,No
S6_W_D_0001,12,Male,Urban,Low,75.34,2.3,2,79.21,75.97,No,5.2,Medium,Negative,No,Yes,Yes,Yes,Yes,No,14,5,0,4,Medium,West,6th,D,,Engineer,Noisy,No,Anxious,Average,Bus,No
S12_N_C_0002,17,Male,Urban,Low,80.83,1.3,2,90.46,97.86,No,7.3,Low,Neutral,Yes,No,No,Yes,No,No,0,1,1,2,Medium,North,12th,C,,Teacher,Noisy,No,Stable,Poor,Car,Yes
S10_N_C_0002,15,Male,Suburban,Low,89.55,1.9,0,66.59,65.41,No,4.3,Medium,Neutral,No,No,Yes,No,No,Yes,13,1,2,0,Low,North,10th,C,High School,Engineer,Shared,Yes,Stable,Poor,Car,Yes
S8_E_D_0001,14,Female,Rural,Low,85.85,5.9,2,59.77,52.63,Yes,8.5,Low,Negative,No,Yes,Yes,No,Yes,No,10,2,1,1,High,East,8th,D,Master,Engineer,Quiet,Yes,Stressed,Poor,Car,No
S12_E_A_0003,17,Male,Rural,Medium,76.06,3.8,1,94.16,72.4,No,4.9,Low,Negative,No,Yes,Yes,Yes,No,Yes,18,0,1,1,Low,East,12th,A,Bachelor,Unemployed,Quiet,Yes,Stressed,Poor,Bus,Yes
S9_N_A_0001,14,Female,Urban,Medium,77.95,2.2,1,59.35,67.68,Yes,8.0,High,Positive,Yes,No,No,No,No,Yes,6,3,0,1,Medium,North,9th,A,,Farmer,Noisy,No,Stable,Poor,Walk,No
S12_N_D_0001,17,Male,Suburban,Low,98.25,3.3,2,79.23,91.49,Yes,7.4,High,Negative,No,No,Yes,No,No,Yes,19,1,1,1,High,North,12th,D,Bachelor,Farmer,Quiet,Yes,Stressed,Poor,Walk,No
S8_W_B_0003,13,Male,Rural,Medium,84.59,2.4,2,42.3,43.43,Yes,8.1,High,Neutral,No,No,Yes,No,No,No,0,4,1,1,Medium,West,8th,B,High School,Engineer,Noisy,Yes,Stressed,Good,Cycle,Yes
S11_W_C_0001,16,Male,Suburban,High,92.35,2.4,2,82.87,70.97,No,5.8,High,Negative,No,No,No,Yes,No,Yes,6,6,1,0,Low,West,11th,C,Master,Farmer,Quiet,No,Stressed,Poor,Walk,No
S8_S_C_0001,14,Female,Rural,Low,84.96,2.6,1,69.14,79.35,Yes,4.9,Medium,Neutral,No,Yes,Yes,No,No,Yes,16,5,2,1,High,South,8th,C,High School,Farmer,Quiet,No,Stressed,Good,Car,Yes
S11_N_A_0001,16,Male,Suburban,High,97.94,3.7,1,60.52,50.95,No,6.7,Low,Neutral,Yes,Yes,No,No,No,No,0,9,1,1,Low,North,11th,A,Bachelor,Teacher,Noisy,Yes,Anxious,Good,Car,No
S8_E_C_0002,14,Female,Rural,High,82.87,1.4,3,70.95,67.12,Yes,7.6,High,Neutral,No,No,No,Yes,Yes,Yes,12,1,0,2,Low,East,8th,C,High School,Teacher,Shared,Yes,Stable,Poor,Bus,Yes
S12_S_D_0001,17,Male,Suburban,High,83.24,3.3,0,57.28,71.39,No,8.3,High,Positive,Yes,No,No,No,No,Yes,17,9,0,1,Medium,South,12th,D,,Farmer,Shared,No,Stressed,Average,Walk,No
S8_W_B_0004,14,Female,Rural,High,92.95,3.9,2,60.34,48.87,Yes,4.7,High,Neutral,No,Yes,No,No,Yes,Yes,7,5,4,0,Medium,West,8th,B,Bachelor,Farmer,Shared,Yes,Anxious,Average,Walk,No
S7_N_D_0001,13,Female,Urban,Medium,75.84,3.0,3,53.05,64.38,No,8.5,High,Neutral,No,No,No,No,No,Yes,19,1,0,0,Medium,North,7th,D,Master,Teacher,Quiet,Yes,Stable,Average,Car,No
S6_W_D_0002,12,Male,Rural,High,93.4,2.3,0,59.1,88.94,No,5.3,High,Negative,No,Yes,No,Yes,Yes,Yes,12,9,3,4,Medium,West,6th,D,Bachelor,Teacher,Quiet,Yes,Stressed,Poor,Walk,Yes
S9_E_C_0001,15,Female,Rural,Medium,75.98,4.3,3,60.91,60.21,Yes,4.9,High,Neutral,No,Yes,No,No,No,Yes,2,7,1,2,Medium,East,9th,C,High School,Teacher,Shared,No,Stable,Good,Car,Yes
S6_N_A_0002,11,Male,Suburban,Low,90.24,5.2,3,96.61,60.56,Yes,7.1,Medium,Neutral,Yes,No,Yes,Yes,Yes,Yes,5,5,1,3,Medium,North,6th,A,High School,Teacher,Shared,No,Anxious,Good,Car,Yes
S12_W_B_0002,17,Male,Suburban,Medium,75.91,3.1,2,47.48,55.51,Yes,6.3,Low,Negative,Yes,No,No,Yes,Yes,No,11,1,2,4,High,West,12th,B,Master,Unemployed,Noisy,Yes,Anxious,Average,Cycle,No
S9_E_B_0001,14,Female,Suburban,Medium,91.46,1.4,1,91.71,77.01,Yes,4.5,High,Neutral,No,Yes,No,Yes,No,Yes,19,7,4,2,Medium,East,9th,B,Bachelor,Engineer,Quiet,Yes,Stable,Average,Walk,No
S9_N_A_0002,14,Male,Urban,Low,81.22,2.2,1,90.07,52.46,Yes,8.3,High,Negative,No,No,Yes,No,No,No,6,0,4,3,Medium,North,9th,A,Master,Farmer,Noisy,No,Stable,Good,Bus,No
S11_W_B_0003,16,Male,Rural,Medium,89.37,1.6,1,78.39,64.8,No,6.2,Low,Positive,Yes,No,Yes,No,No,No,5,3,3,0,Medium,West,11th,B,Master,Teacher,Shared,Yes,Anxious,Poor,Car,Yes
S7_E_A_0002,13,Female,Rural,Low,84.32,3.2,2,87.04,88.8,No,7.2,High,Negative,No,Yes,Yes,Yes,Yes,Yes,15,9,3,0,Low,East,7th,A,Bachelor,Teacher,Quiet,Yes,Anxious,Average,Walk,No
S6_S_D_0001,12,Female,Rural,Medium,79.79,5.7,3,63.5,81.4,No,5.1,Medium,Positive,No,No,Yes,No,Yes,Yes,11,3,3,0,Low,South,6th,D,Master,Farmer,Quiet,No,Stressed,Average,Bus,Yes
S8_N_D_0002,14,Female,Suburban,Low,91.78,4.5,3,93.6,41.88,Yes,6.2,High,Positive,Yes,Yes,No,No,Yes,Yes,7,8,1,3,High,North,8th,D,High School,Engineer,Quiet,Yes,Stable,Good,Bus,No
S12_N_A_0001,17,Male,Rural,Medium,80.55,5.1,0,51.44,43.46,No,6.9,Medium,Negative,Yes,No,Yes,Yes,Yes,No,1,6,0,1,High,North,12th,A,Master,Teacher,Noisy,No,Stable,Good,Walk,No
S10_N_A_0001,15,Male,Rural,Medium,98.92,4.7,0,40.26,69.46,No,7.7,Medium,Negative,Yes,Yes,Yes,No,No,Yes,8,3,3,0,Medium,North,10th,A,Bachelor,Farmer,Quiet,Yes,Stable,Good,Car,No
S7_W_B_0001,13,Male,Rural,High,76.38,5.8,2,47.86,87.06,Yes,5.2,Medium,Neutral,Yes,No,Yes,Yes,No,No,15,2,2,1,High,West,7th,B,High School,Engineer,Quiet,Yes,Anxious,Good,Cycle,Yes
S11_E_D_0001,16,Male,Urban,Medium,88.03,1.3,3,72.05,92.81,No,4.6,High,Positive,Yes,No,Yes,No,Yes,No,3,7,3,3,Medium,East,11th,D,,Unemployed,Shared,No,Stressed,Poor,Walk,Yes
S11_S_A_0002,16,Male,Rural,Medium,82.87,4.1,2,54.96,42.12,Yes,8.9,Low,Positive,No,Yes,No,No,Yes,Yes,17,5,4,2,Low,South,11th,A,Bachelor,Unemployed,Quiet,Yes,Stressed,Poor,Cycle,No
S11_S_A_0003,16,Female,Suburban,Medium,76.65,1.7,1,72.41,77.81,No,8.9,Low,Negative,Yes,Yes,Yes,No,No,No,0,5,3,4,Low,South,11th,A,Master,Farmer,Quiet,No,Stable,Poor,Car,No
S10_E_D_0002,15,Female,Urban,High,80.48,3.8,3,52.58,55.17,Yes,4.6,Low,Positive,No,No,Yes,Yes,Yes,Yes,11,5,0,0,Low,East,10th,D,,Farmer,Noisy,Yes,Anxious,Poor,Bus,Yes
S7_N_D_0002,13,Female,Urban,High,91.7,1.9,0,58.49,68.37,Yes,7.7,High,Neutral,Yes,Yes,No,No,Yes,Yes,15,1,0,0,Low,North,7th,D,Bachelor,Unemployed,Noisy,Yes,Stable,Good,Bus,Yes
S11_W_C_0002,16,Male,Rural,Medium,85.25,1.6,1,57.37,90.96,No,7.3,Low,Negative,No,No,No,No,Yes,No,3,0,0,4,Low,West,11th,C,,Unemployed,Quiet,Yes,Anxious,Poor,Walk,No
S8_E_C_0003,13,Female,Rural,Low,85.59,2.0,0,53.78,94.89,No,4.4,High,Negative,Yes,No,No,Yes,No,Yes,15,8,3,0,Medium,East,8th,C,Bachelor,Farmer,Quiet,No,Anxious,Average,Car,No
S9_S_C_0001,15,Female,Rural,Medium,83.95,2.3,2,55.69,93.74,Yes,8.8,Low,Neutral,Yes,Yes,No,No,Yes,No,8,0,2,1,Low,South,9th,C,,Farmer,Shared,Yes,Stressed,Average,Bus,No
S8_S_A_0003,13,Male,Suburban,Medium,96.33,4.2,0,42.24,90.53,Yes,7.8,High,Neutral,Yes,Yes,No,Yes,No,Yes,16,5,0,1,High,South,8th,A,High School,Engineer,Noisy,Yes,Anxious,Good,Walk,Yes
S10_W_A_0003,16,Male,Urban,Low,88.95,2.3,0,75.19,77.5,No,6.3,Medium,Positive,Yes,Yes,No,Yes,No,Yes,15,7,4,3,Medium,West,10th,A,High School,Teacher,Shared,Yes,Stable,Good,Bus,No
S6_E_D_0001,12,Male,Urban,Low,93.08,2.2,3,85.26,77.61,Yes,5.5,Medium,Neutral,Yes,No,Yes,Yes,No,Yes,3,6,3,0,High,East,6th,D,Bachelor,Teacher,Shared,No,Stable,Good,Car,No
S10_W_C_0002,15,Female,Suburban,Low,95.38,2.6,2,54.99,90.74,No,8.4,Medium,Negative,Yes,No,No,Yes,No,Yes,5,0,2,1,Low,West,10th,C,,Unemployed,Noisy,Yes,Anxious,Average,Walk,No
S9_E_C_0002,14,Male,Suburban,Low,90.03,5.7,2,59.55,87.83,No,6.7,Medium,Neutral,No,Yes,No,No,No,No,0,7,3,0,High,East,9th,C,,Teacher,Shared,No,Stable,Average,Bus,No
S7_N_D_0003,13,Female,Rural,Low,83.16,5.2,0,58.8,57.01,No,4.1,High,Positive,No,No,Yes,Yes,Yes,No,16,2,2,1,Medium,North,7th,D,Bachelor,Teacher,Noisy,No,Anxious,Good,Walk,Yes
S7_E_C_0001,12,Male,Urban,High,84.37,1.2,1,91.8,93.78,No,5.5,Low,Negative,No,Yes,No,Yes,Yes,No,19,5,2,0,Medium,East,7th,C,Master,Unemployed,Shared,No,Stressed,Good,Bus,No
S8_N_B_0002,13,Female,Urban,Low,81.0,1.3,1,66.25,78.11,No,8.3,High,Negative,Yes,No,Yes,No,Yes,Yes,14,5,2,2,High,North,8th,B,High School,Teacher,Shared,No,Stressed,Good,Walk,No
S9_E_C_0003,14,Female,Urban,Medium,85.15,1.4,2,44.9,52.57,No,4.0,Medium,Negative,Yes,No,No,No,Yes,No,4,9,1,4,Medium,East,9th,C,,Farmer,Shared,Yes,Stable,Average,Cycle,Yes
S9_N_A_0003,15,Female,Suburban,Medium,76.86,4.8,1,56.57,80.61,Yes,4.7,Low,Negative,No,No,No,No,No,Yes,19,2,3,2,High,North,9th,A,,Farmer,Quiet,Yes,Stable,Good,Bus,No
S10_S_C_0001,15,Female,Suburban,High,99.09,2.0,3,79.64,58.05,No,6.1,Medium,Positive,Yes,Yes,Yes,No,No,No,2,6,0,1,Medium,South,10th,C,Master,Teacher,Shared,Yes,Stable,Average,Bus,Yes
S7_S_C_0002,13,Female,Suburban,Low,82.93,1.7,1,91.73,73.42,No,4.8,High,Positive,Yes,Yes,No,Yes,Yes,No,1,0,3,2,Medium,South,7th,C,Master,Farmer,Quiet,No,Stressed,Poor,Cycle,Yes
S10_N_A_0002,15,Female,Urban,High,79.79,4.4,3,40.72,84.8,Yes,5.3,Low,Negative,Yes,Yes,No,Yes,Yes,No,1,2,2,3,Medium,North,10th,A,Bachelor,Engineer,Shared,Yes,Stressed,Good,Cycle,No
S12_W_A_0001,17,Male,Rural,Medium,95.71,1.4,2,76.56,46.77,Yes,7.4,Medium,Negative,No,No,Yes,Yes,Yes,No,5,9,1,2,Medium,West,12th,A,High School,Unemployed,Noisy,No,Stressed,Average,Walk,Yes
S11_S_B_0002,16,Male,Rural,High,87.25,1.7,3,81.04,77.0,Yes,5.2,Medium,Positive,No,Yes,Yes,No,No,Yes,15,4,3,3,Low,South,11th,B,Master,Farmer,Quiet,No,Stressed,Good,Cycle,Yes
S8_S_D_0001,14,Female,Suburban,High,88.12,1.7,2,80.18,81.45,Yes,4.7,High,Negative,No,Yes,Yes,Yes,No,No,14,0,0,1,High,South,8th,D,High School,Teacher,Noisy,No,Stressed,Poor,Bus,Yes
S8_S_C_0002,14,Female,Rural,Medium,76.98,2.8,2,86.46,49.26,Yes,7.1,Medium,Neutral,Yes,Yes,No,Yes,No,Yes,19,3,3,4,Low,South,8th,C,Bachelor,Farmer,Noisy,Yes,Stable,Good,Walk,No
S7_W_B_0002,13,Male,Suburban,Medium,97.91,2.5,0,92.42,75.74,Yes,8.0,Medium,Negative,No,Yes,Yes,Yes,No,No,4,9,0,3,Low,West,7th,B,,Engineer,Shared,Yes,Stable,Poor,Bus,No
S11_N_A_0002,16,Male,Suburban,Medium,75.62,3.2,2,75.21,63.83,Yes,8.2,High,Negative,No,Yes,No,No,Yes,Yes,15,1,2,2,Medium,North,11th,A,High School,Engineer,Shared,No,Stressed,Poor,Walk,No
S10_N_C_0003,15,Male,Rural,Medium,79.52,5.9,2,40.55,99.03,No,4.1,Medium,Neutral,Yes,No,Yes,Yes,Yes,Yes,18,4,4,2,Medium,North,10th,C,Bachelor,Unemployed,Shared,No,Stable,Poor,Bus,No
S11_S_B_0003,16,Male,Urban,Medium,89.46,2.9,0,49.74,51.89,No,7.8,Low,Neutral,No,No,Yes,No,Yes,Yes,13,9,4,3,Low,South,11th,B,High School,Teacher,Shared,No,Anxious,Poor,Car,No
S10_S_B_0001,16,Female,Suburban,Low,86.99,5.2,1,70.03,51.5,No,6.4,High,Negative,No,No,Yes,No,No,No,10,9,4,4,High,South,10th,B,High School,Unemployed,Noisy,Yes,Stable,Good,Walk,No
S6_E_C_0001,12,Male,Urban,Low,93.14,4.7,1,59.78,65.97,No,4.4,High,Negative,Yes,Yes,Yes,Yes,No,Yes,10,2,1,1,Medium,East,6th,C,Bachelor,Unemployed,Quiet,No,Stressed,Average,Car,No
S10_S_D_0001,15,Male,Rural,Medium,78.36,2.2,1,56.94,48.55,No,8.4,High,Positive,No,Yes,Yes,Yes,No,No,2,9,4,3,High,South,10th,D,Bachelor,Engineer,Quiet,No,Stressed,Average,Car,No
